sku,prod,brand,rev90,n_ten,n_ord,fonte,erp_stock,supplier_stock,pos,costo,prezzo,comp_min,n_comp,floor_price,target_price,ricarico_target_pct,verdetto,cut_needed
985722495,KIJIMEA K53 ADVANCE 84CPS,KJI,2596.63,7,41,grossista,0,119,8,59.13,68.48,65.35,40,66.23,65.34,10.5,NON_POSIZIONABILE,0
986130363,ENTEROLACTIS PLUS 30CPS,ENO,2593.01,9,109,MAGAZZINO,38,2124,,17.74,20.76,19.00,76,20.23,18.99,7.0,NON_POSIZIONABILE,0
938586563,LIQUIPEF 60CPR,UBL,2573.70,8,82,MAGAZZINO,1,960,,18.00,21.06,20.63,46,20.52,20.62,14.6,VIA_PC,0.44
988838037,SIDEVIT B12 20STICK,PHU,2557.46,6,74,MAGAZZINO,2,1639,,16.18,19.66,17.68,59,18.45,17.67,9.2,NON_POSIZIONABILE,0
990004071,PROINTEX 14BUST,"",2476.18,6,41,grossista,0,108,,30.78,0.00,39.43,27,34.47,39.42,28.1,REINSERISCI_prezzo_fb,0
013046089,ENTEROGERMINA*OS 20FL 4MLD 5ML,ENT,2453.53,9,119,MAGAZZINO,122,1489,,14.19,17.31,17.99,68,16.18,17.98,26.7,STANDALONE,0
989678863,SIBOSOLV 60CPS ACIDORESIST,EBL,2451.12,5,66,grossista,0,318,,26.20,30.39,31.64,33,29.87,31.63,20.7,STANDALONE,0
985387632,PERLAPROST 15PRL SOFTGEL,6NK,2397.95,6,40,MAGAZZINO,2,928,,16.47,19.27,21.39,51,18.77,21.38,29.8,STANDALONE,0
977219462,RESTAX DONNA 30CPS,RTX,2390.60,5,46,MAGAZZINO,1,590,,23.13,28.11,27.41,42,26.37,27.40,18.5,VIA_PC,0.71
989015185,KALANIT 3 60CPR S/ZUCCHERI,KKA,2377.97,7,52,grossista,0,240,,32.58,37.47,39.87,43,36.49,39.86,22.3,STANDALONE,0
976103945,ARNISTIL SOL OFTALMICA 8ML,0RR,2356.87,6,63,MAGAZZINO,2,304,,14.26,17.54,18.66,50,16.25,18.65,30.8,STANDALONE,0
980302537,MAGNESIO SUPREMO DONNA 150G,NPO,2356.78,10,126,grossista,0,5451,,13.28,17.55,14.20,94,15.14,14.19,6.9,NON_POSIZIONABILE,0
942774148,CETILAR CREMA 50ML,CE9,2338.19,8,108,MAGAZZINO,6,2459,,14.09,17.33,15.33,75,16.06,15.32,8.7,NON_POSIZIONABILE,0
975588056,SUPRADYN MAGNESIO/POT 24BUST,SPY,2293.01,9,195,grossista,0,2745,,6.70,8.24,7.94,71,7.91,7.93,18.4,VIA_PC,0.31
984357119,REBONE 20F,HZN,2289.13,6,37,grossista,0,244,8,23.60,27.39,25.13,32,26.90,25.12,6.4,NON_POSIZIONABILE,0
950361992,NODONE 30CPR,"",2281.62,6,48,grossista,0,377,7,18.52,21.84,24.62,31,21.11,24.61,32.9,STANDALONE,0
978936781,LENIREF 24STICK PACK 15ML,PHN,2168.28,8,69,MAGAZZINO,1,538,,16.19,18.95,19.35,45,18.46,19.34,19.5,STANDALONE,0
982011177,DARFAX PLUS 30CPR 1425MG IT,DFX,2161.75,6,51,MAGAZZINO,1,2275,,22.53,27.37,25.94,46,25.68,25.93,15.1,VIA_PC,1.44
988784955,POLYCURC 15STICKPACK,"",2155.09,5,34,MAGAZZINO,1,143,,26.74,29.95,27.86,35,30.48,27.85,4.2,NON_POSIZIONABILE,0
981441987,REDIPEG 20STICK PACK 30ML,2L4,2134.08,7,53,grossista,0,739,,15.82,18.51,19.29,58,18.03,19.28,21.9,STANDALONE,0
942802772,COGNIDEP 14BUST,ERZ,2101.16,7,31,grossista,0,468,,21.42,24.84,25.79,43,24.42,25.78,20.4,STANDALONE,0
930530732,DERMAFRESH IPERSUD ROLL ON DEO,DEF,2100.85,8,151,grossista,0,691,,7.09,8.72,7.29,40,8.37,7.28,2.7,NON_POSIZIONABILE,0
940037548,FUSION WATER MAGIC SPF50 50ML,ISD,2093.86,7,102,grossista,0,2097,,21.20,25.44,23.12,43,24.17,23.11,9.0,NON_POSIZIONABILE,0
983376359,RILASTIL SMAGLIATURE CR E/I/E,RIL,2079.99,4,71,MAGAZZINO,2,683,,23.24,26.49,27.89,44,26.49,27.88,20.0,STANDALONE,0
925373110,BUTYROSE LSC 30MICROCPS,"",2015.69,7,53,MAGAZZINO,1,157,,19.46,22.77,23.77,44,22.18,23.76,22.1,STANDALONE,0
986479133,"AMINOTROFIC HDE 30BUST 6,5G",A3O,2007.36,7,39,MAGAZZINO,1,590,,29.85,34.93,30.84,44,34.03,30.83,3.3,NON_POSIZIONABILE,0
940532548,SYALOX 300 PLUS 30CPR TRIPLO S,"",1989.48,7,41,MAGAZZINO,1,852,6,27.27,31.63,31.99,43,31.09,31.98,17.3,STANDALONE,0
978844470,SUPRADYN MAGN/P LIMITED 38BUST,SPY,1982.07,8,116,MAGAZZINO,3,168,,10.53,12.11,9.94,28,12.00,9.93,-5.7,NON_POSIZIONABILE,0
951387873,NORMAST 600MG MICROGR 30BUST,0U9,1919.79,6,45,grossista,0,2109,,22.31,0.00,29.11,35,25.43,29.10,30.4,REINSERISCI_prezzo_fb,0
935801922,KAROS GOLA PASTIGLIE 20PAST,KAO,1913.93,6,60,MAGAZZINO,14,665,,7.00,9.04,9.05,59,8.26,9.04,29.1,STANDALONE,0
980423610,NEOBIANACID 70CPR MASTICABILI,NE1,1865.68,10,97,MAGAZZINO,1,4379,,17.66,20.66,17.99,82,20.13,17.98,1.8,NON_POSIZIONABILE,0
988925487,YOVIS STICK 20STICK,YOV,1854.05,7,77,MAGAZZINO,13,294,,13.21,15.72,16.37,58,15.06,16.36,23.8,STANDALONE,0
012745168,TACHIPIRINA*30CPR DIV 500MG,TCH,1853.23,10,215,MAGAZZINO,78,1023,,4.91,6.17,6.27,57,5.79,6.26,27.5,STANDALONE,0
950915468,FIDEK 40CPR 1G DRN,"",1844.14,6,55,grossista,0,347,9,20.14,23.09,26.43,29,22.96,26.42,31.2,STANDALONE,0
988654657,GOLD COLLAGEN FORTE PLUS 10FL,GOC,1822.98,4,20,grossista,0,889,,37.50,43.87,34.86,51,42.00,34.85,-7.1,NON_POSIZIONABILE,0
947432389,ZETA COLEST 30CPS,ERZ,1779.75,4,34,grossista,0,916,,15.53,18.17,15.12,50,17.70,15.11,-2.7,NON_POSIZIONABILE,0
989812173,EVAGYN GEL VAGINALE 8TUB 5ML,"",1776.19,6,54,MAGAZZINO,1,220,,15.79,18.47,20.46,29,17.99,20.45,29.5,STANDALONE,0
975816190,OLEA D3 PLUS GOCCE 20ML,HN0,1772.63,9,96,MAGAZZINO,1,5740,,16.43,19.23,17.30,62,18.73,17.29,5.2,NON_POSIZIONABILE,0
971277874,MARIAL 20 ORAL STICK 15ML,2L4,1771.98,10,68,MAGAZZINO,1,5223,,15.82,18.51,17.70,72,18.03,17.69,11.8,NON_POSIZIONABILE,0
951841408,MAVOSTEN MAGNEGIO 180CPS,5MO,1755.93,4,36,grossista,0,58,,44.99,0.00,53.09,20,50.39,53.08,18.0,REINSERISCI_prezzo_fb,0
931647236,RESTAX 30CPS+30CPS SOFTGEL,RTX,1748.05,6,33,grossista,0,1523,10,22.00,25.75,24.75,50,25.08,24.74,12.5,NON_POSIZIONABILE,0
015598016,RINAADVANCE*GTT RINOL 10ML,NAR,1744.81,6,37,MAGAZZINO,6,100,,8.24,10.05,9.35,29,9.72,9.34,13.3,NON_POSIZIONABILE,0
982526687,RESTAX EFFLUVIUM 30CPR,WIK,1733.04,6,40,grossista,0,686,7,22.08,25.70,25.33,42,25.17,25.32,14.7,VIA_PC,0.38
971559745,NEUROTIDINE 50MG/ML SOL ORALE,"",1732.10,5,24,grossista,0,2337,,44.86,53.83,47.80,43,50.24,47.79,6.5,NON_POSIZIONABILE,0
945136467,PEROGNIDOL FORTE 15ML,NBF,1720.10,6,46,grossista,0,912,10,19.67,22.68,23.82,52,22.42,23.81,21.0,STANDALONE,0
922017811,CONDRONIL COMPLEX 30BUST,CNI,1715.08,5,35,MAGAZZINO,1,139,,26.27,30.73,29.90,42,29.95,29.89,13.8,NON_POSIZIONABILE,0
027261027,ALOXIDIL*2% SOLUZ CUTANEA 3FL,ADL,1712.53,1,39,grossista,0,30,,36.38,42.93,36.43,24,40.75,36.42,0.1,NON_POSIZIONABILE,0
979418860,TRIMIX GOCCE OCULARI 8ML,OFH,1706.44,9,61,MAGAZZINO,1,168,,15.25,17.84,19.11,52,17.38,19.10,25.2,STANDALONE,0
984805731,BERBEROL K 30CPR,PHX,1692.71,9,58,grossista,0,319,,17.91,20.95,19.52,56,20.42,19.51,8.9,NON_POSIZIONABILE,0
978659264,IMPROMUNE 40CPR APPETIBILI,BBC,1690.68,3,34,grossista,0,131,,48.91,56.25,50.76,45,54.78,50.75,3.8,NON_POSIZIONABILE,0
975908221,BIOARGININA ORALE 20FL 20ML,"",1667.88,5,36,MAGAZZINO,6,1519,6,14.40,16.53,18.72,57,16.41,18.71,29.9,STANDALONE,0
973145838,CALCIOBASE 30STICK 10ML,ABG,1667.27,9,69,MAGAZZINO,1,1166,,11.98,14.26,12.79,69,13.66,12.78,6.7,NON_POSIZIONABILE,0
025669185,MOMENT*36CPR RIV 200MG,MMT,1657.46,10,157,MAGAZZINO,41,564,,8.53,10.40,10.38,69,10.06,10.37,21.6,VIA_PC,0.03
982003600,BETOTAL 60CPR,BET,1643.78,10,69,MAGAZZINO,16,1624,,16.42,18.88,19.29,67,18.72,19.28,17.4,STANDALONE,0
