Pager usage is off.
Output format is csv.
sku,prod,stk,ss,val,pos,clk,cost30,vende_rete,prot_stock,categoria
970540896,VITA ACT MULTIVITAM 50+ 30CPR,6,350,4.57,2,9,2.51,t,t,HELD_basket
984651253,TRASPIREX PELLI DELICATE 20ML,14,83,5.89,1,9,2.51,f,t,HELD_basket
927234498,ATOGYN DISP IGIEN VAG 125ML2PZ,0,41,17.48,2,8,2.23,t,f,HELD_rete_pos
944166103,NANCARE FLORA EQUILIBRIUM 20BS,0,39,13.65,3,8,2.23,t,f,HELD_rete_pos
947423707,LONGLIFE BERBERIN+ 60TAV RIVES,0,298,17.15,9,8,2.23,t,f,HELD_rete_pos
932654167,CARNIDYN FAST 20BUST,20,179,13.68,5,8,2.23,t,f,HELD_basket
981385026,VITIS ORTHODONTIC COLLUT 500ML,3,173,6.09,2,8,2.23,t,f,HELD_rete_pos
004853038,VALERIANA DISPERT*100CPR 45MG,6,228,9.48,2,8,2.23,t,t,HELD_rete_pos
943303545,LONGLIFE MAGNESIUM 375 POWDER,0,116,15.39,2,8,2.23,t,f,HELD_rete_pos
979418389,AVEENO SPRAY DOPO DOCCIA PROMO,8,0,7.40,7,8,2.23,f,f,HELD_basket
041056021,MAALOX REFLUSSO*14CPR 20MG,20,282,4.69,1,8,2.23,t,t,HELD_rete_pos
979321318,DERMOVITAMINA MICO SMALTO NUDE,3,301,4.56,1,8,2.23,t,f,HELD_rete_pos
986699573,MULTICENTRUM NEO MAMMA DHA,7,400,21.25,5,8,2.23,t,f,HELD_basket
975922295,PERDITA DI PESO 60CPS,0,87,9.12,10,8,2.23,t,f,HELD_rete_pos
984733562,MONURELLE PLUS AF 15CPS,16,418,9.73,8,8,2.23,t,f,HELD_rete_pos
950130688,DERCOS SHAMPOO ANTIFORFORA SEC,13,26,16.58,1,8,2.23,f,t,HELD_basket
989417074,IRILENS GOCCE OCULARI 10FL,25,311,4.89,4,8,2.23,t,f,HELD_rete_pos
982454795,JUST FOR MEN CONTROL GX SH COL,0,167,10.12,7,8,2.23,t,f,HELD_rete_pos
903187452,ESTROMINERAL SERENA 40CPR,16,534,17.89,4,8,2.23,t,f,HELD_basket
932178371,INTERPROX PLUS NANO ROSA 6PZ,4,726,5.27,2,8,2.23,f,f,MAGAZZINO_netto
975761356,POLIDENT AZIONE TOTALE 66CPR,19,660,5.85,1,8,2.23,t,t,HELD_basket
941963528,BETOTAL ADVANCE B12 15FL,39,796,15.31,7,8,2.23,t,f,HELD_basket
943779001,ASTAR 3D 20CPS MOLLI,0,111,17.99,9,7,1.95,t,f,HELD_rete_pos
935293872,PSORAXIL ORO 30CPR,0,43,16.81,7,7,1.95,t,f,HELD_rete_pos
988032708,TOLERIANE KERIUM DS CONC 40ML,17,92,15.55,7,7,1.95,f,f,HELD_basket
943372843,PRINCIPIUM B12 1000 60CPR SUBL,0,878,12.91,5,7,1.95,f,f,GROSSISTA_netto
