?column?
003452012,Valontan Adulti 100 mg Dimenidrinato Antinausea 4 Compresse Rivestite - VALONTAN - 003452012,1,0,77,false,1,1
023475080,Acetamol Bambini 10 Supposte da 250 mg - - 023475080,1,6,23,false,1,1
023907037,BETADINE*10CPR VAG 200MG - BETADINE - 023907037,1,0,59,false,1,1
029134018,Privituss Sospensione Orale Sedativa per la Tosse 200 ml - - 029134018,1,15,184,false,1,1
031066020,ICTAMMOLO NEW F*10% UNG 1000G - - 031066020,1,0,24,false,1,1
031103029,ZOLFO E POT CARB NEW F*UNG 1KG - - 031103029,1,0,55,false,1,1
034740035,NEOBOROCILLINA ALFASIGMA SpA NEOBOROCILLINA FLUIDIFICANTE TOSSE Sciroppo 200 ml - NEOBOROCILLINA - 034740035,1,23,80,false,1,1
038370019,Chiesi Brexidol 4 Cerotti Medicati 14 mg Dolori Articolari - - 038370019,1,4,112,false,2,2
039436023,EUSTAMYL*COLL 25FL 0 5ML 0 05% - EUSTAMYL - 039436023,1,0,36,false,1,1
041512029,LISOMUCIL KETODOL GOLA*OS SPRAY 15ML - LISOMUCIL - 041512029,1,0,87,false,1,1
044460018,Laila Capsule Molli 14 Capsule - LAILA - 044460018,1,20,182,false,1,2
046058018,EVANTE*1CPR RIV 30MG - - 046058018,1,0,70,false,1,1
046254013,LEHNING LABORATOIRES GELSEMIUM COMPLEXE L70*1FL30ML - LEHNING LABORATOIRES - 046254013,1,0,1,false,1,1
048813012,Fexallegra 10 Compresse Rivestite 120mg - FEXALLEGRA - 048813012,1,15,0,false,1,1
049406046,VISIOFEN*COLL 30FL 0 25MG/ML - VISIOFEN - 049406046,1,0,21,false,1,1
050375245,CEMON ACONITUM NAPELLUS DYN*30CH GR - CEMON - 050375245,1,5,15,false,1,1
050574033,DICLOFENAC EG*GEL 60G 20MG/G - - 050574033,1,0,310,false,1,1
800423562,Cemon Euphrasia Collirio 10 Fiale da 0 4 ml - CEMON - 800423562,1,18,1,false,1,1
800588485,OTI BIOACID COMPOSTO 60CPS - OTI - 800588485,1,0,5,false,1,1
800597130,WALA ITALIA SILICEA COMP 20G GL WALA - WALA ITALIA - 800597130,1,0,10,false,1,1
881018752,CEMON CUPRUM MET MK GTT 20M 18% - CEMON - 881018752,1,0,12,false,1,1
881073670,CEMON FEE DETOX-A 15ML - CEMON - 881073670,1,0,6,false,1,1
881073959,CEMON FEE TIGLIO 15ML - CEMON - 881073959,1,0,14,false,1,1
900146073,EVASEN DISCH RAGADI SENO 60PZ - EVASEN - 900146073,1,0,8,false,1,1
900280037,BENPED DITA A MARTELLO SX GR 1 - BENPED - 900280037,1,0,7,false,1,1
