sku,nome,click7,pos,stock,domanda_glob,vend_rete_30g,rete_90g,categoria_traffico
986395933,CERAMOL PSOR CREMA 200ML,5,2,5,0.00,3.00,si,DOMANDA_VIVA
975922295,PERDITA DI PESO 60CPS,5,10,0,0.00,3.00,si,DOMANDA_VIVA
981067287,EUCERIN SUN ACTINIC CONTROL100,5,1,16,0.00,0,si,GIA_POSIZIONATO_top5
947473880,RESVERATROX 60CPS,5,1,7,0.00,0,si,GIA_POSIZIONATO_top5
980431151,DICLOREUM EMATOSOLL GEL 50ML,5,5,38,3.00,3.00,si,DOMANDA_VIVA
989417074,IRILENS GOCCE OCULARI 10FL,5,3,25,1.00,2.00,si,DOMANDA_VIVA
943372843,PRINCIPIUM B12 1000 60CPR SUBL,5,8,0,0.00,6.00,si,DOMANDA_VIVA
908621295,GIBAUD GINOCCH COT SOT BEI 2,5,2,1,0.00,0,no,GIA_POSIZIONATO_top5
982934010,FITOSTIMOLINE SEPTAGEL GEL VAG,5,1,7,7.00,6.00,si,DOMANDA_VIVA
974161820,GIBAUD ORTHO LOMBOGIB WORK 1,5,1,1,0.00,0,no,GIA_POSIZIONATO_top5
980532446,DEFENCE MY AGE GOLD CR RIC50ML,5,22,0,0.00,9.00,si,DOMANDA_VIVA
980430540,CERULISINA FAST ADULTI BAMBINI,4,14,0,0.00,3.00,si,DOMANDA_VIVA
042028011,OKITASK*OS GRAT 10BUST 40MG,4,10,73,26.00,13.00,si,DOMANDA_VIVA
950063661,ANTIOSSIDANTE SUPREMO 60PAST,4,6,0,0.00,1.00,si,DOMANDA_VIVA
048922013,ZEFLAVON*30CPR RIV 500MG,4,6,12,0.00,1.00,si,DOMANDA_VIVA
986971354,GIBAUD ORTHO ROTULGIB 3D GIN4,4,1,1,0.00,0,no,GIA_POSIZIONATO_top5
987649744,NUTRIVA NEUROLEV COMPLEX30BUST,4,1,0,0.00,1.00,si,DOMANDA_VIVA
900466703,DERCOS SHAMPOO ENERG 200ML,4,7,36,2.00,1.00,si,DOMANDA_VIVA
941963528,BETOTAL ADVANCE B12 15FL,4,10,39,3.00,7.00,si,DOMANDA_VIVA
975984535,CONDRONIL FORTE 20BUST,4,15,0,0.00,14.00,si,DOMANDA_VIVA
990312961,MULTICENTRUM U50+ 30CPR PROM26,4,1,4,0.00,3.00,si,DOMANDA_VIVA
940000399,DEFLUX 20STICK MONODOSE 10ML,4,9,0,0.00,5.00,si,DOMANDA_VIVA
982823748,LFP GINSENG ELEUTEROC10FL 10ML,4,5,5,0.00,0,si,GIA_POSIZIONATO_top5
989816412,VESVEIN GAMBE SOLLIEVO 30CPR,4,10,11,6.00,12.00,si,DOMANDA_VIVA
950838223,SUPRADYN EXPERT MAGNESIO 60CPS,4,2,26,0.00,13.00,si,DOMANDA_VIVA
980136523,TENA SILHOUETTE NOIR L V/A 8PZ,4,1,4,0.00,0,si,GIA_POSIZIONATO_top5
931450175,GIBAUD ORTHO MANUGIB 20 DX 3,4,1,2,0.00,0,no,GIA_POSIZIONATO_top5
943322685,CONNECTASYL 60CPR,4,6,0,0.00,35.00,si,DOMANDA_VIVA
981385026,VITIS ORTHODONTIC COLLUT 500ML,4,2,3,0.00,1.00,si,DOMANDA_VIVA
950928717,HERPES OIL OLIO SANT'ANTONIO,4,2,0,0.00,0,si,GIA_POSIZIONATO_top5
935293872,PSORAXIL ORO 30CPR,4,3,0,0.00,2.00,si,DOMANDA_VIVA
903958852,BETOTAL 20CPR RIVESTITE,4,2,21,3.00,0,si,DOMANDA_VIVA
987362391,BAKEL THE ONE CASE&REFILL 50ML,4,1,3,0.00,0,no,GIA_POSIZIONATO_top5
027910013,FEXALLEGRA NASALE*SPRAY FL10ML,4,8,20,16.00,0,si,DOMANDA_VIVA
980774677,COLPHARMA EASY 2 KIT COMPL AER,4,3,13,0.00,0,si,GIA_POSIZIONATO_top5
935631630,MELLIS MED SHAMPOO 125ML,4,5,5,49.00,10.00,si,DOMANDA_VIVA
029851173,MOVICOL*SENZA AROMA BB 20BUST,4,4,0,0.00,11.00,si,DOMANDA_VIVA
986971531,GIBAUD ORTHO J GIN ZEROG 1,4,3,1,0.00,0,no,GIA_POSIZIONATO_top5
985581622,LFP PRO ENERSAL 12BUST,4,3,29,0.00,2.00,si,DOMANDA_VIVA
984462503,PREP CREMA TALLONI 75ML,4,16,0,0.00,1.00,si,DOMANDA_VIVA
984867236,CARNIDYN BOOST 10FL,4,10,5,19.00,9.00,si,DOMANDA_VIVA
983361662,GIBAUD ORTHO MANUGIB TRAU DX 2,4,9,0,0.00,0,no,MORTO_vero
988339178,NANCARE KIDS IMMUNITY 60GUMM,4,1,4,0.00,0,si,GIA_POSIZIONATO_top5
976769618,RINO SHOWER PIC DOCCIA NASALE,4,1,11,1.00,0,si,DOMANDA_VIVA
977610587,TONICO ENERGIZZANTE ACT 12FL,4,1,21,0.00,2.00,si,DOMANDA_VIVA
905954362,GIBAUD ORTHO BRACC ELBOWGIB 3,4,2,1,0.00,0,no,GIA_POSIZIONATO_top5
908492768,GIBAUD ORTHO BRACC ANTIEPIC 3,4,1,4,0.00,0,no,GIA_POSIZIONATO_top5
988922807,EMOFORM DENT CREMA ADES 45G TP,3,10,0,0.00,1.00,si,DOMANDA_VIVA
990001861,ZZZQUIL SONNO+ ANTISTRESS28CPS,3,9,23,20.00,7.00,si,DOMANDA_VIVA
023834144,"FLUIFORT*SCIR 12BUST 2,7G/10ML",3,12,11,6.00,3.00,si,DOMANDA_VIVA
908478668,GIBAUD ORTHO CINT TOR REG 4B 1,3,1,1,0.00,0,no,GIA_POSIZIONATO_top5
900191469,VITREOXIGEN 20CPR,3,6,7,1.00,13.00,si,DOMANDA_VIVA
985771777,LACTOFLORENE PANCIA PIAT20BUST,3,5,8,14.00,15.00,si,DOMANDA_VIVA
982539355,LFP INSETTO REPELLENTE 100ML,3,2,24,0.00,0,no,GIA_POSIZIONATO_top5
934408713,BIOTHYMUS AC ACT U LOZ 100ML,3,1,6,0.00,0,no,GIA_POSIZIONATO_top5
950939076,LFP AGE F SKIN COLLAGENE 20F,3,4,17,0.00,0,si,GIA_POSIZIONATO_top5
980247504,TISANOREICA BEVANDA CAPPUCCINO 4 BUS,3,2,3,0.00,0,si,GIA_POSIZIONATO_top5
985778568,CERAMOL IAGE EYE CREAM 15ML,3,2,3,0.00,0,si,GIA_POSIZIONATO_top5
