tenant,sku,nome,click7g,spesa7,spesa_gg,vend_ten_7g,rete7,rete30,pos,stock,marg_eur,categoria
Farmacia Procaccini,989022811,AMPOULE A 30ML,9,3.0,0.42,0,no,si,7,3,6.45,no-vend-7g
Farmacia Procaccini,978868038,CONNETTIVINASOLE SPRAY 50ML,9,3.0,0.42,0,no,si,99,0,2.00,no-vend-7g
Farmacia Procaccini,951149968,AXIGAB 90CPR,9,3.0,0.42,0,si,si,1,0,4.37,vende-rete
Farmacia Procaccini,975040522,COBAXIL B12 1000MCG 5CPR SUNBL,9,3.0,0.42,0,si,si,4,0,3.01,vende-rete
Farmacia Procaccini,989983299,CERAVE CREMA IDRATANTE REFILL,9,3.0,0.42,0,no,si,5,4,1.51,no-vend-7g
Farmacia Procaccini,941962033,NEOVIDERM 30ML,8,2.6,0.38,0,si,si,1,3,1.26,vende-rete
Farmacia Procaccini,974109338,CERAVE CREMA IDRATANTE 454G,8,2.6,0.38,0,si,si,23,10,1.98,vende-rete
Farmacia Procaccini,952091914,SAUGELLA POLIGYN 50+ GEL IDRAT,8,2.6,0.38,0,no,si,4,6,2.15,no-vend-7g
Farmacia Procaccini,951332600,DEFENCE SUN OLIO SPRAY SPF50+,8,2.6,0.38,0,no,si,5,3,2.40,no-vend-7g
Farmacia Procaccini,951331406,SUN SECURE EAU SOLAIRE GLOW50+,8,2.6,0.38,0,no,si,2,2,1.98,no-vend-7g
Farmacia Procaccini,034329110,TACHIPIRINA FLASHTAB*12CPR 125,8,2.6,0.38,0,no,no,6,0,0.77,MORTO
Farmacia Procaccini,952051795,XERIAL GEL LAVANT PEELING400ML,8,2.6,0.38,0,no,no,4,9,3.15,MORTO
Farmacia Procaccini,938881531,RILASTIL HYDRAFUSION GEL CR400,8,2.6,0.38,0,si,si,1,0,5.00,vende-rete
Farmacia Procaccini,940005212,MATERPLUS 1 90CPS,8,2.6,0.38,0,si,si,5,0,4.96,vende-rete
Farmacia Procaccini,927259996,NEUROCORTEX 30CPR,8,2.6,0.38,0,no,no,99,0,3.57,MORTO
Farmacia Procaccini,947318578,ZINCOGEN PET IMMUNO 30STICK,8,2.6,0.38,0,si,si,4,0,5.01,vende-rete
Farmacia Procaccini,940884632,BIOLIFTAN DAY CREAM 50ML,8,2.6,0.38,0,si,si,1,0,8.03,vende-rete
Farmacia Procaccini,985008541,SUN SECURE EAU SOLAIRE SPF30,8,2.6,0.38,0,no,no,1,8,2.46,MORTO
Farmacia Procaccini,990681569,EFFACLAR DUO +M TRATT A/IM15ML,7,2.3,0.33,0,no,no,2,5,2.24,MORTO
Farmacia Procaccini,938865110,DERMOVITAMINA IRR CUTANEE 30ML,7,2.3,0.33,0,no,no,99,0,1.69,MORTO
Farmacia Procaccini,989270602,MULTIVITAMIX B12 12FL,7,2.3,0.33,0,si,si,3,14,1.70,vende-rete
Farmacia Procaccini,988124172,REPY GEL 30ML NF,7,2.3,0.33,0,no,si,1,0,2.16,no-vend-7g
Farmacia Procaccini,990407037,STOMONAC GEL CANI GATTI 30ML,7,2.3,0.33,0,no,si,2,0,3.71,no-vend-7g
Farmacia Procaccini,975036308,BODYSTRAP M,7,2.3,0.33,0,no,si,1,0,10.08,no-vend-7g
Farmacia Procaccini,983274186,LINES SP DERM SAG SUPER+ 30PZ,7,2.3,0.33,0,si,si,2,0,2.19,vende-rete
Farmacia Procaccini,932720954,RINOWAY SALI ISOTONICI 15BUST,7,2.3,0.33,0,no,no,6,0,2.10,MORTO
Farmacia Procaccini,020582300,FLUIMUCIL*NEBUL 20F 300MG/3ML,7,2.3,0.33,0,si,si,1,4,2.74,vende-rete
Farmacia Procaccini,951316482,PHOTODERM AR+ ULTRAFLUID 40ML,7,2.3,0.33,0,no,si,3,5,2.22,no-vend-7g
Farmacia Procaccini,042028011,OKITASK*OS GRAT 10BUST 40MG,7,2.3,0.33,0,si,si,10,4,0.57,vende-rete
Farmacia Procaccini,047839016,TRACTANA*28CPR RIV 200MG,7,2.3,0.33,0,si,si,27,0,1.98,vende-rete
Farmacia Procaccini,987296845,ANAPHASE CADUTA ASSOTT SH400ML,7,2.3,0.33,0,no,si,1,4,2.33,no-vend-7g
Farmacia Procaccini,951105840,AVENE CLEANANCE COMEDOMED+,7,2.3,0.33,0,si,si,14,4,1.68,vende-rete
Farmacia Procaccini,940365721,DICOSIM PLUS 30ML,7,2.3,0.33,0,si,si,1,9,2.26,vende-rete
Farmacia Procaccini,989405295,GOOVI STICK LABBRA&GUANCE REAG,7,2.3,0.33,0,no,no,1,1,3.08,MORTO
Farmacia Procaccini,987336726,SUN SECURE EAU SOLAIRE SPF50+,6,2.0,0.28,0,no,si,1,9,2.38,no-vend-7g
Farmacia Procaccini,934408648,BIOTHYMUS AC ACT D SH RISTRUTT,6,2.0,0.28,0,no,si,99,1,1.31,no-vend-7g
Farmacia Procaccini,975447475,TOLERIANE SENSITIVE FLUIDO VIS,6,2.0,0.28,0,no,si,2,3,2.71,no-vend-7g
Farmacia Procaccini,980644254,MARKEUTICALS FOCAL A/DHT 45CPR,6,2.0,0.28,0,no,si,2,0,2.96,no-vend-7g
Farmacia Procaccini,901890689,IRIDIL MASCHERA RIPOSO OCCHI,6,2.0,0.28,0,no,no,99,5,2.22,MORTO
Farmacia Procaccini,952113431,TOPIALYSE HUILE LAVANTE 100ML,6,2.0,0.28,0,no,si,1,17,1.58,no-vend-7g
Farmacia Procaccini,900498837,CLOREXYDERM SOL 4% 1000ML,6,2.0,0.28,0,si,si,4,0,4.72,vende-rete
Farmacia Procaccini,942579309,NEUROGEN PET ULTRA 30CPR,6,2.0,0.28,0,si,si,7,0,3.04,vende-rete
Farmacia Procaccini,951216252,CUTIMED SORBACT CONT 4X6CM 5PZ,6,2.0,0.28,0,no,si,1,0,5.92,no-vend-7g
Farmacia Procaccini,973914017,ADIPROX ADVANCED 50CPS,6,2.0,0.28,0,no,si,6,0,4.45,no-vend-7g
Farmacia Procaccini,951331420,SUN SECURE AQUA FLUIDE SPF50+,6,2.0,0.28,0,no,no,1,7,2.61,MORTO
Farmacia Procaccini,951361120,FLAVIAM CREMA SCHIARENTE 40ML,6,2.0,0.28,0,si,si,5,0,4.77,vende-rete
Farmacia Procaccini,987418771,REPIGMENT12 PLUS CREMA 75ML,6,2.0,0.28,0,si,si,1,0,20.26,vende-rete
Farmacia Procaccini,947343822,LIPOIC CANNELLA 60TAV,6,2.0,0.28,0,no,no,99,0,7.88,MORTO
Farmacia Procaccini,952004099,TELEANGYL PROTECT SPF50+ PHARC,6,2.0,0.28,0,si,si,1,0,5.05,vende-rete
Farmacia Procaccini,989373257,LIPOSKIN IDRA UV PHARCOS 40ML,6,2.0,0.28,0,si,si,2,0,3.70,vende-rete
Farmacia Procaccini,987715291,ARTENNUA 90CPS,5,1.6,0.24,0,si,si,1,0,8.69,vende-rete
Farmacia Procaccini,983674641,EXOMEGA CONTROL CR EMOL 400ML,5,1.6,0.24,0,si,si,3,3,3.61,vende-rete
Farmacia Procaccini,972790404,STOMODINE F 30ML,5,1.6,0.24,0,si,si,2,0,2.31,vende-rete
Farmacia Procaccini,926819184,SCREEN TEST INFEZ URINE 3PZ,5,1.6,0.24,0,no,no,3,0,1.47,MORTO
Farmacia Procaccini,985481047,FRANGIPANI PROFUMO 100ML,5,1.6,0.24,0,no,si,13,1,12.97,no-vend-7g
Farmacia Procaccini,989656970,VIDERMINA INTIMA OLIO 500ML SP,5,1.6,0.24,0,no,no,1,13,1.34,MORTO
Farmacia Procaccini,951035753,MAVOSTEN MAGNESIO 120CPS,5,1.6,0.24,0,no,si,6,0,4.41,no-vend-7g
Farmacia Procaccini,947318426,PEROGNIDOL FORTE PERLE,5,1.6,0.24,0,si,si,4,0,3.52,vende-rete
Farmacia Procaccini,943040485,PORUS ONE 30BUST,5,1.6,0.24,0,si,si,1,0,4.20,vende-rete
Farmacia Procaccini,944779584,EUPH OLIO NUTR UN-CUTI10ML,5,1.6,0.24,0,no,si,2,1,1.58,no-vend-7g
Farmacia Procaccini,921232435,PESCURA FLAT ORIG BYCAST SAB41,5,1.6,0.24,0,no,si,2,0,13.04,no-vend-7g
Farmacia Procaccini,926876867,CICABEN 50G,5,1.6,0.24,0,no,si,22,0,1.95,no-vend-7g
