sku,nome,click7,spesa7,qty7,fatturato7,margine7,inc_fatt_pct,inc_marg_pct,pareto,pos
950837195,KIJIMEA K53 ADVANCE 10CPS,9,2.96,1.00,13.84,1.93,21,154,"",10
976034049,LACTOSOLUTION 15000 75CPR,9,2.96,8.00,197.58,37.76,2,8,PARETO,1
902068701,EUBOS CREMA NORMALIZZANTE 50ML,9,2.96,3.00,61.35,16.20,5,18,PARETO,1
931160485,AUSILIUM FORTE 300G,9,2.96,3.00,219.58,42.06,1,7,PARETO,8
905171233,TAURETINA 30CPS,9,2.96,4.00,72.40,10.44,4,28,PARETO,17
951870462,BUTIR PLUS 15+15CPR,9,2.96,13.00,222.12,52.91,1,6,PARETO,1
930890571,FOTOKER PHARCOS CREMA 50ML,9,2.96,1.00,25.62,3.16,12,94,PARETO,3
950405757,VITREOIAL GOCCE OCULARI 20MONO,9,2.96,2.00,37.86,7.78,8,38,PARETO,6
951889930,APTODIN ESO 30STICKPACK,8,2.64,2.00,69.50,8.74,4,30,PARETO,11
970371403,PROCINEX 24STICK 15ML,8,2.64,5.00,73.65,13.60,4,19,PARETO,1
973149990,IRIX VIVA STRISCE GLICEMIA25PZ,8,2.64,10.00,78.10,19.50,3,14,PARETO,5
972767368,FLORENTERO ACT 15ML,8,2.64,1.00,11.35,1.79,23,147,"",1
904658554,PROIDEMA CRONO 30CPR,8,2.64,4.00,72.04,8.92,4,30,PARETO,1
035500091,VOLTADVANCE*30CPR RIV 25MG,7,2.31,6.00,56.82,8.32,4,28,PARETO,1
931578734,XIPHASE 20CPS,7,2.31,3.00,57.24,9.63,4,24,PARETO,1
908960735,SAUGELLA DERMOLIQUIDO 750ML,7,2.31,1.00,9.47,1.40,24,165,PARETO,4
952003097,VIVIVEN CRACKLING MOUSSE GAMBE,7,2.31,2.00,32.36,4.66,7,49,"",8
951552557,TIMOB 30STICKPACK 10ML,7,2.31,2.00,59.54,11.46,4,20,PARETO,4
949697318,BUONERBE FORTE 90CPR,7,2.31,5.00,69.70,11.50,3,20,PARETO,5
984825113,ORALB IO 9 BLACK SPAZZ+2REFILL,7,2.31,1.00,166.39,50.14,1,5,PARETO,13
987369927,AVENE SOL SPR BB50+ 200ML+RIST,7,2.31,3.00,37.11,4.83,6,48,PARETO,5
943251494,BIOLIFTAN GOLD CREAM 50ML,7,2.31,1.00,67.60,12.49,3,18,PARETO,1
927295790,DIRENE PASTA 15ML,7,2.31,10.00,119.00,30.50,2,8,PARETO,1
924284932,HYPERMIX BARATTOLO 200ML,6,1.98,5.00,199.24,21.45,1,9,PARETO,4
989355781,MARKEUTICALS MENOCORT 60CPR,6,1.98,1.00,25.03,3.98,8,50,PARETO,1
981964935,RILASTIL SUN PPT 50+ BEIGE NF,6,1.98,2.00,26.42,3.24,7,61,PARETO,2
988826475,TRIVIS UV SPRAY 100ML,6,1.98,1.00,27.05,3.90,7,51,PARETO,2
951091711,BIOMAVET CANE 1500MG 12CPR,6,1.98,1.00,13.36,2.02,15,98,PARETO,5
933496275,GASTROSAVE 30CPR,6,1.98,6.00,65.82,11.82,3,17,PARETO,2
951885413,BWB AH MAZING HAIR VIT C/BIOT,6,1.98,1.00,24.74,5.00,8,40,PARETO,1
935800805,BLUGEL A MONODOSE GTT OCULARI,6,1.98,9.00,116.11,20.34,2,10,PARETO,1
982512497,AVENE TOLERANCE LOZ DET ED LIM,6,1.98,1.00,15.77,3.09,13,64,"",4
982981666,ANTHELIOS FLUIDO UVM50+ S/PROF,6,1.98,1.00,13.24,3.37,15,59,PARETO,6
982981654,ANTHELIOS CREMA IDRAT UVM50+TT,6,1.98,1.00,13.08,2.21,15,89,"",4
981248293,TOPIALYSE HUILE LAV 1L NF,6,1.98,5.00,54.95,-27.75,4,-7,PARETO,52
978476380,COBAXIL B12 5000MCG 5CPR SUNBL,5,1.65,1.00,25.93,3.81,6,43,PARETO,2
924885837,VITE ROSSA GAMBE 30CPR,5,1.65,1.00,7.44,1.47,22,112,PARETO,3
925700890,HYPERMIX CREMA/GEL 30ML,5,1.65,1.00,9.97,2.00,17,82,PARETO,4
935334298,COLONREST 20CPR,5,1.65,5.00,73.45,13.25,2,12,PARETO,6
975099173,TOTABI EVO 32CPR,5,1.65,1.00,10.88,1.96,15,84,PARETO,1
975946284,SENSIBIO GEL MOUSSANT 500ML,5,1.65,2.00,27.36,4.55,6,36,PARETO,3
979103506,SENSIBIO H2O 850ML PUMP,5,1.65,3.00,41.87,6.56,4,25,PARETO,1
980911325,SUN SECURE LAIT SPF50+ NF250ML,5,1.65,1.00,13.05,1.97,13,84,PARETO,3
980926618,ANTHELIOS LATTE SOL 50+ PAPER,5,1.65,1.00,13.91,1.79,12,92,PARETO,3
982947311,NUXE SUN HUILE LACTEE CAPILLAI,5,1.65,1.00,10.92,1.31,15,126,PARETO,6
985592272,RILASTIL SUN SYS CAPSULE 1+1,5,1.65,1.00,15.34,0.00,11,,"",6
987296047,FERALIV 60CPR FILMATE,5,1.65,3.00,115.95,19.38,1,8,PARETO,2
987437187,POLASE ARANCIA 36BUST PROMO,5,1.65,1.00,11.28,-0.03,15,-5882,PARETO,23
990759666,EUPHIDRA LIP ART DUO MATTONE,5,1.65,2.00,16.18,4.18,10,39,"",99
981475724,NUXE RDT CR RAFFERMISSAN 200ML,4,1.32,2.00,58.28,11.20,2,12,"",2
911961100,FIBRAFOS CANE 20BUST DA 30G,4,1.32,3.00,72.51,11.73,2,11,PARETO,5
987400874,ANTHELIOS POST UV EXPOSUR200ML,4,1.32,1.00,11.42,2.10,12,63,"",14
945140135,EUPH COLORPRO XD 407 CAST,4,1.32,1.00,6.21,0.99,21,134,PARETO,3
104687227,VECTRA 3D*3PIP >40KG ROSSO,4,1.32,3.00,75.36,11.22,2,12,PARETO,1
981248267,TOPIALYSE GEL LAVANT 1L NF,4,1.32,1.00,8.61,1.77,15,74,PARETO,48
978837538,CS ANTI ACNE PURI SPF50+ 50ML,4,1.32,1.00,10.94,1.41,12,93,"",1
979049804,LACTOSOLUTION 15000 30CPR,4,1.32,1.00,11.57,2.33,11,57,"",1
945030171,JOHYA OS 15FL,4,1.32,4.00,76.76,9.60,2,14,PARETO,8
989816412,VESVEIN GAMBE SOLLIEVO 30CPR,4,1.32,2.00,22.28,2.74,6,48,PARETO,5
986791958,RILASTIL XEROLACT OLIO 1000ML,4,1.32,2.00,24.62,6.21,5,21,PARETO,11
989669902,DEFENCE SUN 50+ SPRAY 200ML,4,1.32,2.00,24.18,3.27,5,40,PARETO,16
035500026,VOLTADVANCE*20CPR RIV 25MG,4,1.32,4.00,25.84,8.86,5,15,PARETO,1
951890159,SERENA HA+ 30CPS,4,1.32,3.00,64.53,9.00,2,15,PARETO,5
935506651,VAGISIL INTIMO GEL C PROHYDR,4,1.32,1.00,12.15,2.00,11,66,PARETO,10
904213877,FIMOSIN GEL 30ML,4,1.32,1.00,11.57,1.65,11,80,"",9
983674678,EXOMEGA CONTROL BALS EMOL400ML,4,1.32,3.00,58.32,10.19,2,13,"",3
904639679,POLIVIT CREMA 500ML,4,1.32,5.00,88.21,16.75,1,8,PARETO,1
983373972,PHOTODERM AKN MAT SPF30 40ML,4,1.32,1.00,11.76,2.25,11,59,"",3
931666960,SAUGELLA UOMO PH FISIOL 500ML,4,1.32,1.00,10.47,3.37,13,39,PARETO,4
987867140,ZREEN COLLAGENE POLVERE,4,1.32,3.00,83.19,12.54,2,11,PARETO,3
