minsan;nome;categoria;prezzo;domanda_rete_30g;best_mercato
982475319;SERENITY PANTS SD SENS EX XL14;Pannoloni;15.01;15.00;13.75
951332422;EUGLYCEM 30CPR;Metabolismo;19.15;14.00;22.37
972293169;LEVASTEN 10FL 10ML;Tonici psico/fisici;16.52;14.00;18.17
981365416;ENTERELLE PLUS 24BUST STICK;Fermenti lattici;14.95;14.00;15.32
900780471;VEA OLIO IDRAT PROT P SEC 20ML;Idratanti;13.93;14.00;16.02
023589031;STREPTOSIL NEOMICINA*POLV 10G;Dermatologici;8.94;14.00;9.78
985657612;SPAZZOLINO WHIT MED SOFARMAPIU;;0.87;14.00;1.09
930535810;SIDERAL GOCCE 30ML;Preparati;15.98;13.00;16.99
023907126;BETADINE*GEL 30G 10%;Disinfettanti e medicazioni;5.57;13.00;5.92
926522133;CER PIC CLASSIC 19X72 20PZ;Cerotti;1.78;13.00;1.63
986486088;UROIAL PLUS 14BUST;Apparato uro-genitale;24.28;12.00;25.36
949994394;DAV 30CPR RIVESTITE;Preparati;20.68;12.00;21.93
903569465;SERENITY PANN CLAS EX L 30PZ;Pannoloni;17.99;12.00;16.04
950305932;ALUNEB SOL IPER SPR NAS 125ML;Naso;14.84;12.00;16.75
808848170;TRAUMEEL S CREMA 50G;;12.98;12.00;13.08
035304043;ZERINOL*20CPR RIV 300MG+2MG;Febbre,Analgesici;7.28;12.00;9.44
950298873;ORALB MAN FILO SUPERFLOSS NEW;Accessori per la pulizia dei denti;4.03;12.00;4.04
904047242;SIR PIC INS 0,5 G31X8 30PZ;Presidi,Aghi e siringhe;3.78;12.00;4.11
986818779;COLLUTORIO CLOR 020 SOFARMAPIU;Collutori;3.01;12.00;3.47
951385246;DICOFLOR 60 30CPS;Fermenti lattici;21.13;11.00;22.12
903964575;ELASTOVEN 30CPR;Circolazione;19.99;11.00;21.27
938826310;BUONA CIRCADIEM MELATONINA20ML;Calmanti;12.85;11.00;13.37
938754999;ANONET CREMA 50ML;Altri prodotti;11.89;11.00;12.01
934822899;PRINCIPIUM VITAMINA C MAST 60C;Vitamine;11.78;11.00;14.09
004853026;VALERIANA DISPERT*60CPR 45MG;Calmanti;6.73;11.00;7.61
972602522;ICTYANE BALSAMO LABBRA DUCRAY;Protettivi per labbra;6.30;11.00;6.62
981354044;TAUMARIN SPAZZ PROF27 DU ANTIB;Spazzolini;2.96;11.00;3.09
976730996;STIPSIGOL 30BUST;Stipsi e transito intestinale;20.94;10.00;19.63
944778760;SIDEREMIL VITA 30CPS;Minerali;19.51;10.00;20.18
986972002;OCUTEARS ALO+0,4% PFMD 10ML;Preparati;18.78;10.00;20.46
941172734;TIROXIL D 30CPR;Metabolismo;17.88;10.00;18.46
942813825;HYLO DUAL 10ML;Preparati;17.01;10.00;18.91
935584110;FLOGAN DAY 20CPR;Circolazione;16.36;10.00;17.89
900904513;GENGIGEL GEL GENGIVALE 20ML;Patologie di bocca e labbra;10.84;10.00;10.70
026048090;AZOLMEN*CREMA 30G 1%;Dermatologici;9.65;10.00;10.15
978255242;EMOFLON POMATA RETTALE 25G;Emorroidi;9.57;10.00;10.75
977447919;CURAPROX PERIOPLUS+ BAL 0,05%;Collutori;9.16;10.00;6.83
040657025;FASTUM ANTIDOLORIFICO*1% 100G;Apparato muscolo scheletrico;8.28;10.00;7.95
947236838;ARNICA GEL FORTE 30% 100ML;Lenitivi;6.56;10.00;7.25
926522741;CER PIC AQUABLOC 10X12 5PZ;Cerotti;6.25;10.00;6.73
042000024;FLOMAX GOLA*SPRAY 15ML;Analgesici,Cavo orale;4.40;10.00;4.32
908869694;BENDA PIC AURIC DRESSF CM2X5M;Bende e garze;2.09;10.00;1.27
