minsan;nome;ord_30g;prezzo_pre_26_6;prezzo_dopo;aumento_pct;pos_oggi;disponibile
982604391;URYVET CAT PASTA EVO 15ML;6;10.00;10.37;3.7;13;SI
980926618;ANTHELIOS LATTE SOL 50+ PAPER;6;13.78;14.28;3.6;;SI
939673796;BERBERINA ESTRATTO SECCO 60CPR;4;9.86;10.22;3.6;11;SI
934545373;TRIADENOR 16CPR;4;18.64;19.30;3.5;14;SI
981647023;SNS TED 30BUST;9;17.43;18.04;3.5;14;SI
920891607;EAU DE PHILAE EDT 100ML;6;15.83;16.37;3.4;11;SI
923536054;MICROLIFE AUTOMATIC EASY;5;29.87;30.85;3.3;12;SI
951889930;APTODIN ESO 30STICKPACK;5;32.14;33.18;3.2;12;SI
974012991;DEFENCE COLOR LUMINIZER 101;4;14.55;15.00;3.1;4;SI
906664545;GUM CLASSIC 305 SPAZ DURO REG;8;2.88;2.97;3.1;;SI
(89 rows)
