sku,nome,click7,spesa7,qty7,rev7,marg7,inc_fatt_pct,categoria,is_civetta,pos,stock
989022811,AMPOULE A 30ML,9,2.96,0,0.00,0.00,,0-vendite,f,7,3
951149968,AXIGAB 90CPR,9,2.96,0,0.00,0.00,,0-vendite,t,1,0
921232450,PESCURA FLAT ORIG BYCAST SAB43,9,2.96,0,0.00,0.00,,0-vendite,t,1,0
978868038,CONNETTIVINASOLE SPRAY 50ML,9,2.96,0,0.00,0.00,,0-vendite,t,4,0
989332844,AVENE SOL LATTE SPF 50 100ML,9,2.96,0,0.00,0.00,,0-vendite,f,12,2
989983299,CERAVE CREMA IDRATANTE REFILL,9,2.96,0,0.00,0.00,,0-vendite,t,4,4
950222556,VITREONORM TASK 20STICK,9,2.96,0,0.00,0.00,,0-vendite,t,1,0
987437213,POLASE PLUS 24BUST PROMO,9,2.96,0,0.00,0.00,,0-vendite,f,34,24
978501548,SUN SECURE EAU SOLAIRE SPF50,9,2.96,0,0.00,0.00,,0-vendite,t,1,4
989633817,ANTHELIOS FLUIDO UV A/M SPF50+,9,2.96,0,0.00,0.00,,0-vendite,f,13,3
952051795,XERIAL GEL LAVANT PEELING400ML,8,2.64,0,0.00,0.00,,0-vendite,t,1,9
985008541,SUN SECURE EAU SOLAIRE SPF30,8,2.64,0,0.00,0.00,,0-vendite,t,1,8
972767368,FLORENTERO ACT 15ML,8,2.64,1.00,11.35,1.79,23,inc-marg>100,t,1,0
941962033,NEOVIDERM 30ML,8,2.64,0,0.00,0.00,,0-vendite,t,1,3
947318578,ZINCOGEN PET IMMUNO 30STICK,8,2.64,0,0.00,0.00,,0-vendite,t,4,0
974109338,CERAVE CREMA IDRATANTE 454G,8,2.64,0,0.00,0.00,,0-vendite,f,23,10
940884632,BIOLIFTAN DAY CREAM 50ML,8,2.64,0,0.00,0.00,,0-vendite,t,1,0
938881531,RILASTIL HYDRAFUSION GEL CR400,8,2.64,0,0.00,0.00,,0-vendite,t,1,0
952091914,SAUGELLA POLIGYN 50+ GEL IDRAT,8,2.64,0,0.00,0.00,,0-vendite,t,1,6
034329110,TACHIPIRINA FLASHTAB*12CPR 125,8,2.64,0,0.00,0.00,,0-vendite,t,5,0
940005212,MATERPLUS 1 90CPS,8,2.64,0,0.00,0.00,,0-vendite,t,3,0
927259996,NEUROCORTEX 30CPR,8,2.64,0,0.00,0.00,,0-vendite,t,1,0
951332600,DEFENCE SUN OLIO SPRAY SPF50+,8,2.64,0,0.00,0.00,,0-vendite,t,4,3
951331406,SUN SECURE EAU SOLAIRE GLOW50+,8,2.64,0,0.00,0.00,,0-vendite,t,1,2
047839016,TRACTANA*28CPR RIV 200MG,7,2.31,0,0.00,0.00,,0-vendite,f,27,0
990407037,STOMONAC GEL CANI GATTI 30ML,7,2.31,0,0.00,0.00,,0-vendite,t,1,0
951316482,PHOTODERM AR+ ULTRAFLUID 40ML,7,2.31,0,0.00,0.00,,0-vendite,t,2,5
938865110,DERMOVITAMINA IRR CUTANEE 30ML,7,2.31,0,0.00,0.00,,0-vendite,f,99,0
975036308,BODYSTRAP M,7,2.31,0,0.00,0.00,,0-vendite,t,1,0
983274186,LINES SP DERM SAG SUPER+ 30PZ,7,2.31,0,0.00,0.00,,0-vendite,t,2,0
988124172,REPY GEL 30ML NF,7,2.31,0,0.00,0.00,,0-vendite,t,4,0
042028011,OKITASK*OS GRAT 10BUST 40MG,7,2.31,0,0.00,0.00,,0-vendite,f,10,4
940365721,DICOSIM PLUS 30ML,7,2.31,0,0.00,0.00,,0-vendite,t,1,9
020582300,FLUIMUCIL*NEBUL 20F 300MG/3ML,7,2.31,0,0.00,0.00,,0-vendite,t,1,4
989405295,GOOVI STICK LABBRA&GUANCE REAG,7,2.31,0,0.00,0.00,,0-vendite,t,1,1
951105840,AVENE CLEANANCE COMEDOMED+,7,2.31,0,0.00,0.00,,0-vendite,f,14,4
932720954,RINOWAY SALI ISOTONICI 15BUST,7,2.31,0,0.00,0.00,,0-vendite,t,5,0
990681569,EFFACLAR DUO +M TRATT A/IM15ML,7,2.31,0,0.00,0.00,,0-vendite,t,1,5
908960735,SAUGELLA DERMOLIQUIDO 750ML,7,2.31,1.00,9.47,1.40,24,inc-marg>100,t,1,34
987296845,ANAPHASE CADUTA ASSOTT SH400ML,7,2.31,0,0.00,0.00,,0-vendite,t,1,4
989270602,MULTIVITAMIX B12 12FL,7,2.31,0,0.00,0.00,,0-vendite,t,1,14
951361120,FLAVIAM CREMA SCHIARENTE 40ML,6,1.98,0,0.00,0.00,,0-vendite,t,5,0
900498837,CLOREXYDERM SOL 4% 1000ML,6,1.98,0,0.00,0.00,,0-vendite,t,1,0
989373257,LIPOSKIN IDRA UV PHARCOS 40ML,6,1.98,0,0.00,0.00,,0-vendite,t,1,0
952004099,TELEANGYL PROTECT SPF50+ PHARC,6,1.98,0,0.00,0.00,,0-vendite,t,1,0
952113431,TOPIALYSE HUILE LAVANTE 100ML,6,1.98,0,0.00,0.00,,0-vendite,t,1,17
980644254,MARKEUTICALS FOCAL A/DHT 45CPR,6,1.98,0,0.00,0.00,,0-vendite,t,2,0
951331420,SUN SECURE AQUA FLUIDE SPF50+,6,1.98,0,0.00,0.00,,0-vendite,t,1,7
947343822,LIPOIC CANNELLA 60TAV,6,1.98,0,0.00,0.00,,0-vendite,t,1,0
901890689,IRIDIL MASCHERA RIPOSO OCCHI,6,1.98,0,0.00,0.00,,0-vendite,t,1,5
942579309,NEUROGEN PET ULTRA 30CPR,6,1.98,0,0.00,0.00,,0-vendite,t,1,0
934408648,BIOTHYMUS AC ACT D SH RISTRUTT,6,1.98,0,0.00,0.00,,0-vendite,t,1,1
981248293,TOPIALYSE HUILE LAV 1L NF,6,1.98,5.00,54.95,-27.75,4,inc-marg>100,f,52,0
987418771,REPIGMENT12 PLUS CREMA 75ML,6,1.98,0,0.00,0.00,,0-vendite,t,1,0
987336726,SUN SECURE EAU SOLAIRE SPF50+,6,1.98,0,0.00,0.00,,0-vendite,t,1,9
975447475,TOLERIANE SENSITIVE FLUIDO VIS,6,1.98,0,0.00,0.00,,0-vendite,t,2,3
