minsan;nome;ord_12_25giu;ord_dopo_26;prezzo_venduto_pre;prezzo_ora;rincaro_pct;stato;pos_oggi;disponibile
909748737;RIBES PET 80 GOCCE 25ML;3;0;17.80;18.88;6.0;AMMUTOLITO;3;SI
911002184;SHAKTI CREMA VISO MOLYWIND;3;0;45.36;48.17;6.2;AMMUTOLITO;17;SI
912321080;PHYTO CORRECTIVE 30ML;3;1;74.24;90.64;22.1;DIMEZZATO;;SI
913108647;VENAVIN 50ML;3;0;15.93;17.87;12.2;AMMUTOLITO;11;SI
913668543;SEBIUM HYDRA 40ML;3;0;7.77;10.01;28.8;AMMUTOLITO;1;SI
920590736;TIOMOUSSE SCHIUMA 75ML;3;0;11.06;13.96;26.2;AMMUTOLITO;5;SI
920891557;PROCTOIAL GEL RETT EMOR/RAG;3;1;13.78;15.00;8.8;DIMEZZATO;2;SI
921319582;SYSTANE BALANCE GOCCE OCUL10ML;3;0;14.20;17.88;25.9;AMMUTOLITO;11;SI
921895645;IDEAL SOLEIL VISO DRY TOUCH 30;3;0;9.28;15.88;71.2;AMMUTOLITO;;SI
922378183;CRIOVEN GEL 120ML;3;1;13.60;16.31;19.9;DIMEZZATO;4;SI
922986841;Q10 UBIQUINOLO 30CPS;3;0;26.80;30.68;14.5;AMMUTOLITO;13;SI
924284932;HYPERMIX BARATTOLO 200ML;3;1;32.79;43.15;31.6;DIMEZZATO;4;SI
925205256;PHYTO PHYTOPHANERE 1+1;3;1;25.55;28.68;12.3;DIMEZZATO;;SI
927091227;GRINTUSS ADULTI SCIR 180G;3;1;10.76;11.64;8.2;DIMEZZATO;;SI
927096166;FLEBOKEN 30CPR;3;0;16.05;19.32;20.3;AMMUTOLITO;9;SI
927123493;ESCINA COMPLEX 20CPR;3;0;11.77;13.62;15.7;AMMUTOLITO;11;SI
927123733;EIE CARCIOFO 30ML;3;0;11.62;14.24;22.5;AMMUTOLITO;12;SI
927126870;KIROCOMPLEX 20CPR;3;0;23.84;26.72;12.1;AMMUTOLITO;;SI
